Dryleaf Arm Wraps,1.3,1.6,1,1,3.5,2.9,3.1,3.5,13,8,25,24,2,1.7
Gaius's Gauntlets,4.2,3.9,5,4.9,3.5,3.4,3.4,3.4,22,28,18,18,8,6.7
Oathseeker Knight Gauntlets,3.2,2.8,3.1,2.9,2.7,2.5,1.7,2.5,11,19,8,8,4,3.5
Verdigris Gauntlets,5.2,4.5,5,4.7,3.3,3.3,3.6,3.3,30,36,12,17,10,8.6
Iron Rivet Gauntlets,2.8,2.1,2.8,2.7,2.3,2.3,1.9,2.1,8,19,4,4,4,2.9
Thiollier's Gloves,2.1,2.1,1.7,1.7,1.9,2.3,2.7,2.5,24,9,21,13,3,2.4
High Priest Gloves,1.3,1.5,1,0.6,3.2,3.1,3.1,3.1,14,8,21,25,2,1.4
Braided Arm Wraps,1,0.6,0.6,0.1,3.1,2.5,2.8,3.2,12,5,34,19,1,0.8
Dancer's Bracer,1.3,1,1.6,1,3.2,3.2,3.1,3.1,14,8,21,22,1,1.4
Gauntlets of Night,1.7,1.7,1.9,1.9,3.1,2.3,2.3,3.1,18,11,15,15,3,2.4
Igon's Gauntlets,2.3,2.5,2.3,2.3,2.7,2.8,2.9,2.7,21,14,18,18,4,2.8
Ansbach's Manchettes,1.3,1.5,1.5,1,3.2,3.2,3.1,3.2,13,8,25,30,3,1.7
Freyja's Gauntlets,3.3,2.3,2.8,2.8,2.1,2.3,1.9,2.3,8,20,4,8,4,3.1
Gauntlets of Solitude,4.7,4.5,4.6,4.4,3.3,3.6,3.3,3.4,20,21,33,17,10,8
Messmer Soldier Gauntlets,2.9,2.3,2.9,2.8,1.9,2.3,1.6,1.9,8,15,6,6,4,2.9
Black Knight Gauntlets,3.6,3.1,3.6,4,3.1,3.2,2.7,2.8,14,22,8,8,6,4.6
Rakshasa Gauntlets,1.3,1,1.6,1.4,0.9,1.2,0.8,0.9,12,20,9,9,6,4.3
Fire Knight Gauntlets,3.2,2.5,2.9,2.7,2.3,2.9,1.7,2.1,9,15,7,8,4,3.1
Leather Arm Wraps,1.9,2.3,2.1,1.9,2.1,2.5,2.8,2.5,19,11,15,14,3,2.4
Death Knight Gauntlets,3.1,2.7,3.1,3.1,2.3,2.3,3.1,1.9,9,15,6,15,5,3.5
Ascetic's Wrist Guards,1.5,0.1,1.3,0.6,3.1,3.1,3.1,3.3,14,8,9,21,2,1.1
Messmer's Gauntlets,2.3,2.3,2.1,2.7,2.5,3.1,2.9,2.5,20,14,19,20,3,2.8
Gravebird Bracelets,1.6,1.7,1.7,1.5,2.1,1.9,2.3,2.3,17,8,13,12,3,1.7
Common Soldier Gauntlets,3.1,2.3,2.9,2.9,1.7,2.1,1.5,1.9,8,15,6,6,4,2.9
Horned Warrior Gauntlets,3.3,3.1,3.2,2.8,2.5,2.5,2.1,2.1,11,20,6,8,5,3.5
Divine Bird Warrior Gauntlets,3.3,3.1,3.1,2.9,2.7,2.5,1.9,2.1,12,18,7,8,5,3.5
Rellana's Gloves,3.3,2.9,3.5,3.2,3.1,2.9,2.3,2.7,12,19,8,8,5,3.9
Young Lion's Gauntlets,4.2,3.6,4.2,4.2,3.1,3.2,2.8,3.2,17,24,8,12,7,5
Shadow Militiaman Gauntlets,1.7,2.1,1.9,1.9,2.5,2.7,2.7,2.1,25,11,14,14,3,2.4
Alberich's Bracers,1.3,1,1.3,1.3,3.2,2.9,3.1,3.2,13,8,22,24,1,1.4
All-Knowing Gauntlets,3.2,2.9,3.3,2.9,3.1,2.3,2.5,2.1,9,15,7,7,5,3.5
Astrologer Gloves,1.3,1,1,1,3.2,3.1,3.2,3.1,14,7,24,21,2,1.4
Azur's Manchettes,1,0.1,0.6,0.6,3.4,2.8,2.9,3.2,12,8,22,20,1,1.1
Bandit Manchettes,1.5,1.6,1.7,1.7,1.9,1.9,2.1,1.7,15,8,17,17,2,1.7
Banished Knight Gauntlets,4.7,3.7,4.9,4.4,3.3,3.3,3.2,3.3,20,28,13,14,7,5.8
Battlemage Manchettes,1,1.3,0.6,1,3.2,2.8,2.9,3.1,13,7,20,22,2,1.1
Beast Champion Gauntlets,4.4,4.1,4.7,4.6,3.2,3.4,3.2,3.3,19,30,14,13,7,5.8
Black Knife Gauntlets,2.8,2.7,3.1,3.1,2.1,2.3,1.6,2.8,9,15,8,8,4,3.1
Blackflame Monk Gauntlets,3.3,2.8,3.6,3.2,2.5,3.2,1.9,2.5,11,18,7,11,5,3.9
Blaidd's Gauntlets,3.6,3.2,3.6,3.8,2.8,3.2,2.7,2.9,13,21,8,8,6,4.6
Bloodhound Knight Gauntlets,3.1,2.8,3.5,3.3,2.3,2.5,1.7,2.5,11,17,8,8,4,3.5
Bloodsoaked Manchettes,1.3,1.5,1,0.6,3.1,3.1,3.1,3.1,14,9,24,22,2,1.4
Blue Silver Bracelets,2.3,1.5,2.5,1.9,1.9,1.6,1,1,4,14,4,4,3,2.1
Brave's Bracer,0.6,0.6,0.6,0.1,3.1,2.8,2.9,3.1,12,6,20,20,1,0.8
Briar Gauntlets,3.2,2.8,3.3,3.1,2.7,3.1,2.1,2.7,12,24,8,8,5,3.9
Bull-Goat Gauntlets,5.2,5.2,4.6,4.6,3.3,3.3,3.7,3.2,24,28,15,18,10,8.8
Carian Knight Gauntlets,2.9,2.7,3.1,2.9,3.1,2.9,2.3,2.9,9,15,7,8,4,3.5
Champion Bracers,1.6,2.1,1.7,1.9,1.9,2.3,2.5,2.3,17,11,14,13,3,2.1
Cleanrot Gauntlets,3.6,3.3,4,4.4,3.1,3.2,2.8,3.3,21,22,9,11,6,5
Confessor Gloves,2.1,2.7,2.1,2.3,2.8,2.8,3.1,2.5,21,17,17,18,3,2.8
Crucible Gauntlets,4.4,3.4,4.2,4.2,3.2,3.2,2.8,3.3,17,24,12,12,7,5.2
Cuckoo Knight Gauntlets,3.3,2.8,3.6,3.3,3.1,2.9,2.1,2.5,11,19,8,8,5,3.9
Depraved Perfumer Gloves,1.5,1.5,1.4,1.2,3.2,3.1,3.1,3.1,23,8,20,28,2,2
Drake Knight Gauntlets,2.8,2.3,2.9,2.8,2.5,2.8,2.1,2.5,8,15,7,7,4,3.1
Eccentric's Manchettes,2.9,2.1,2.8,2.9,2.1,2.3,1.5,1.9,8,18,6,4,4,2.9
Elden Lord Bracers,2.9,2.7,2.8,3.1,2.1,2.8,1.7,1.9,11,18,6,7,4,3.1
Errant Sorcerer Manchettes,0.6,0.6,1.3,0.6,3.2,3.1,2.9,3.2,11,7,21,22,1,1.1
Exile Gauntlets,2.9,2.1,3.1,2.9,1.7,2.5,1.5,2.1,8,17,6,4,4,2.9
Fingerprint Gauntlets,3.3,2.9,2.9,2.9,2.3,3.1,1.6,2.3,11,20,4,8,5,3.5
Fire Monk Gauntlets,3.5,3.1,3.3,3.1,2.7,3.3,2.3,2.3,11,18,8,8,5,3.9
Fire Prelate Gauntlets,4.9,4.3,4.6,4.6,3.3,5,3.2,3.3,22,21,30,17,10,8.2
Foot Soldier Gauntlets,2.1,2.3,2.1,2.1,2.5,2.7,2.8,2.5,20,13,17,17,3,2.6
Gauntlets,2.9,2.1,3.2,2.9,1.7,2.7,1.5,1.9,8,14,4,6,4,2.9
Gelmir Knight Gauntlets,3.3,2.8,3.5,3.3,2.7,3.1,2.5,2.7,12,18,8,8,5,3.9
Godrick Knight Gauntlets,3.3,2.9,3.5,3.2,2.7,2.9,2.3,2.7,12,19,8,8,5,3.9
Godrick Soldier Gauntlets,3.2,2.8,3.2,3.1,2.5,2.7,1.9,2.3,11,18,8,8,5,3.5
Godskin Apostle Bracelets,1.7,1.6,1.6,1.3,3.2,3.1,3.2,3.6,17,8,28,25,3,2.1
Godskin Noble Bracelets,1.3,2.1,1.5,1.3,3.2,2.9,3.1,3.4,14,8,24,25,3,1.7
Gold Bracelets,1,0.6,0.6,0.1,2.9,2.8,2.9,3.2,13,4,20,20,1,0.8
Golden Prosthetic,1.5,1.5,1.5,1.3,3.2,3.1,3.2,3.2,15,8,25,25,2,2.8
Guardian Bracers,2.7,2.5,2.5,2.3,2.9,2.8,2.9,2.9,25,17,20,19,3,2.9
Haligtree Gauntlets,3.2,2.9,3.1,3.2,2.3,2.5,1.9,2.5,11,18,8,8,4,3.5
Haligtree Knight Gauntlets,3.3,3.1,3.3,3.3,2.5,2.8,2.3,2.8,12,19,8,8,5,3.9
Highwayman Gauntlets,1.9,2.5,1.9,2.1,2.7,2.7,2.8,2.5,19,12,17,17,3,2.6
Hoslow's Gauntlets,3.5,2.9,3.3,3.1,2.7,2.9,2.5,2.5,13,20,8,8,5,3.9
Iron Gauntlets,2.8,2.3,2.9,2.9,2.1,2.3,1.5,1.9,8,15,6,4,4,2.9
Kaiden Gauntlets,2.9,2.1,2.9,2.9,1.9,2.1,1.7,1.9,8,15,6,6,4,2.9
Knight Gauntlets,3.1,2.9,3.3,3.3,2.7,2.7,2.3,2.1,9,17,6,6,5,3.5
Land of Reeds Gauntlets,2.1,2.3,2.9,2.3,2.5,2.8,2.9,2.7,20,17,17,18,3,2.8
Leather Gloves,1.9,2.3,1.9,2.1,2.3,2.3,2.5,2.5,20,12,14,17,3,2.4
Leyndell Knight Gauntlets,3.3,3.1,3.3,3.3,2.5,2.8,2.5,2.7,12,19,8,8,5,3.9
Leyndell Soldier Gauntlets,3.2,2.9,3.1,3.2,2.3,2.5,2.1,2.3,11,18,8,8,5,3.5
Lionel's Gauntlets,4.4,4.1,4.9,5,3.3,3.7,3.2,3.3,21,33,14,17,9,7.1
Lusat's Manchettes,1.3,0.1,1.3,0.1,3.4,2.8,3.1,3.1,12,6,20,22,1,1.1
Malenia's Gauntlet,3.1,2.3,3.2,2.8,1.9,2.3,1.6,2.7,17,14,6,6,4,3.1
Malformed Dragon Gauntlets,4.2,3.7,4.4,4.2,3.2,3.2,3.4,3.2,19,25,13,13,7,5.3
Maliketh's Gauntlets,3.3,2.9,3.5,3.3,2.7,2.8,2.3,3.2,12,19,8,17,5,4.3
Mausoleum Gauntlets,3.2,2.7,3.3,3.1,2.5,2.5,2.1,2.5,11,17,8,7,5,3.5
Mausoleum Knight Gauntlets,3.3,2.8,3.6,3.2,2.7,2.8,2.5,2.8,12,18,8,8,5,3.9
Millicent's Gloves,1,1,1,0.6,3.1,2.9,3.1,3.1,13,7,21,21,1,1.1
Mushroom Arms,1.5,1.7,0.6,1.3,3.3,1.3,3.2,3.2,34,8,30,25,1,1.7
Night's Cavalry Gauntlets,3.5,3.2,3.5,3.3,2.7,3.1,2.7,3.1,13,19,8,8,5,4.3
Noble's Gloves,1.5,1.6,1.5,1.6,3.3,3.3,3.2,3.3,15,8,25,28,2,2.1
Nox Bracelets,2.1,2.3,2.1,1.9,2.9,2.8,2.8,2.3,20,13,15,15,3,2.6
Omen Gauntlets,4.6,3.7,4.7,4.7,3.2,3.6,3.7,3.4,22,21,19,25,9,7.7
Omenkiller Long Gloves,2.1,1.9,1.7,1.7,2.1,2.3,2.8,2.5,22,9,15,15,3,2.4
Perfumer Gloves,1,1.5,1.3,1,3.2,2.9,3.1,3.2,20,6,21,22,2,1.4
Preceptor's Gloves,1.5,1.6,1.5,1.5,3.6,3.3,3.2,3.2,17,8,28,25,3,2.1
Queen's Bracelets,1.5,1.3,1.3,1,3.4,3.1,3.2,3.3,14,8,24,28,2,1.7
Radahn Soldier Gauntlets,3.3,2.7,3.1,2.9,2.5,2.8,1.9,2.3,11,17,8,8,5,3.5
Radahn's Gauntlets,4.7,3.7,4.6,4.4,3.3,3.5,3.1,3.3,20,33,14,13,7,5.8
Ragged Gloves,2.3,2.5,2.3,2.3,2.7,2.8,2.9,2.7,21,14,18,18,4,2.9
Raging Wolf Gauntlets,3.2,2.8,3.2,3.1,2.4,2.7,1.6,2.2,11,19,6,6,4,3.4
Raya Lucarian Gauntlets,3.2,2.7,3.3,3.2,2.7,2.7,1.7,2.1,11,18,8,8,5,3.5
Redmane Knight Gauntlets,3.5,2.8,3.3,3.1,2.7,3.1,2.3,2.7,12,18,8,8,5,3.9
Ronin's Gauntlets,2.7,2.7,2.8,2.7,2.9,3.1,3.2,2.9,25,19,20,21,4,3.1
Royal Knight Gauntlets,4,3.6,4.4,4.2,3.5,3.3,3.1,3.2,17,22,12,12,6,5.2
Royal Remains Gauntlets,2.9,2.8,3.2,2.9,2.3,2.5,1.9,2.1,12,19,8,4,4,3.5
Scaled Gauntlets,4,3.4,4.2,4,3.3,3.5,3.2,3.3,19,28,13,13,7,5.3
Sorcerer Manchettes,1,1.3,1.3,0.1,3.2,3.1,2.9,3.1,13,4,21,20,1,1.1
Spellblade's Gloves,0.9,0.5,0.9,0.9,3.1,2.7,2.8,3.1,11,6,19,20,1,1.2
Traveler's Gloves,1.3,1.3,1,0.6,3.2,3.2,3.1,3.2,18,7,22,21,2,1.4
Traveler's Manchettes,1.6,1.5,1.3,1,3.3,3.2,3.2,3.1,13,8,25,25,2,1.7
Traveling Maiden Gloves,1.3,1.5,1.5,1,3.3,3.2,3.2,3.3,15,8,25,28,2,1.6
Tree Sentinel Gauntlets,4.7,3.7,4.7,4.4,3.2,4.3,3.1,3.5,22,30,14,15,8,6.3
Twinned Gauntlets,3.3,3.1,3.6,2.9,2.8,2.8,2.1,2.5,11,18,7,18,5,3.9
Vagabond Knight Gauntlets,3.3,2.8,3.1,2.9,2.5,2.7,2.1,2.1,12,19,8,8,5,3.5
Veteran's Gauntlets,4.7,4.3,4.7,4.4,3.3,3.5,3.2,3.3,21,30,15,15,8,6.3
Vulgar Militia Gauntlets,1.7,2.1,1.9,1.6,2.1,2.1,2.3,2.1,20,9,14,14,3,2.1
War Surgeon Gloves,1.6,1.8,2,1.6,2.2,2.4,2.6,2.4,18,13,15,17,3,2.3
Warrior Gauntlets,2.3,2.3,1.9,1.9,2.5,2.7,2.9,2.3,21,14,17,17,3,2.6
White Reed Gauntlets,2.3,2.5,2.8,2.1,2.7,2.7,2.9,2.5,22,14,18,17,4,2.8
Zamor Bracelets,2.8,2.1,2.9,2.5,1.9,1.9,1.3,1.7,6,20,0,4,4,2.8
